,Exp,depth,init_scale,optimizer,initialization,lr,mean_error,median_error
0,0,2,0.0001,GroupRMSprop,uniform,0.0003,6.37769,2.66354
0,1,3,1e-06,GroupRMSprop,identity,0.001,6.36196,2.73907
0,2,2,0.0001,GroupRMSprop,orthogonal,0.0003,6.34929,2.6957
0,3,3,1e-05,GroupRMSprop,orthogonal,0.0003,6.5287,2.74977
0,4,3,1e-05,GroupRMSprop,identity,0.001,6.36307,2.71732
0,5,3,1e-05,GroupRMSprop,uniform,0.0003,6.39649,2.80527
0,6,3,0.0001,GroupRMSprop,uniform,0.0003,6.40142,2.8052
0,7,4,0.001,GroupRMSprop,gaussian,0.0003,6.91752,2.98604
0,8,3,1e-06,GroupRMSprop,gaussian,0.001,6.47414,2.72259
0,9,2,1e-06,GroupRMSprop,gaussian,0.001,6.36974,2.67165
0,10,2,1e-06,GroupRMSprop,identity,0.0003,6.36435,2.66979
0,11,3,1e-06,GroupRMSprop,orthogonal,0.0003,6.49877,2.78099
0,12,2,1e-06,GroupRMSprop,uniform,0.0003,6.36638,2.66753
0,13,4,0.001,GroupRMSprop,identity,0.0003,6.35382,2.6933
0,14,4,1e-05,GroupRMSprop,identity,0.0003,6.37039,2.75234
0,15,4,1e-06,GroupRMSprop,uniform,0.0003,16.6761,9.07199
0,16,2,0.0001,GroupRMSprop,uniform,0.001,6.37522,2.65989
0,17,4,1e-05,GroupRMSprop,gaussian,0.001,6.53134,2.79326
0,18,3,0.001,GroupRMSprop,identity,0.0003,6.35327,2.68014
0,19,2,0.0001,GroupRMSprop,identity,0.0003,6.36425,2.66855
0,20,2,0.001,GroupRMSprop,identity,0.001,6.36219,2.66584
0,21,2,0.0001,GroupRMSprop,identity,0.001,6.36098,2.6651
0,22,3,0.0001,GroupRMSprop,identity,0.0003,6.35451,2.6873
0,23,4,1e-05,GroupRMSprop,identity,0.001,6.37182,2.75513
0,24,4,1e-06,GroupRMSprop,identity,0.001,6.39411,2.74849
0,25,3,1e-06,GroupRMSprop,uniform,0.001,6.39335,2.81694
0,26,2,0.001,GroupRMSprop,gaussian,0.0003,6.36682,2.69846
0,27,3,0.001,GroupRMSprop,identity,0.001,6.35248,2.67926
0,28,3,0.001,GroupRMSprop,orthogonal,0.0003,7.39323,2.85019
0,29,2,1e-05,GroupRMSprop,uniform,0.0003,6.37031,2.66763
0,30,3,0.001,GroupRMSprop,gaussian,0.001,7.06165,2.67965
0,31,2,1e-06,GroupRMSprop,orthogonal,0.001,6.36772,2.6762
0,32,2,1e-05,GroupRMSprop,orthogonal,0.0003,6.35883,2.67702
0,33,4,0.0001,GroupRMSprop,identity,0.001,6.367,2.75371
0,34,2,1e-05,GroupRMSprop,identity,0.001,6.36882,2.67404
0,35,3,1e-06,GroupRMSprop,identity,0.0003,6.36858,2.75153
0,36,4,0.001,GroupRMSprop,uniform,0.001,7.36447,2.91472
0,37,4,0.001,GroupRMSprop,orthogonal,0.0003,7.30621,2.98646
0,38,4,1e-06,GroupRMSprop,identity,0.0003,6.32679,2.6508
0,39,3,1e-05,GroupRMSprop,orthogonal,0.001,6.53707,2.7454
0,40,2,0.001,GroupRMSprop,orthogonal,0.0003,6.33218,2.74056
0,41,2,0.001,GroupRMSprop,gaussian,0.001,6.36342,2.70014
0,42,3,1e-06,GroupRMSprop,gaussian,0.0003,6.47776,2.72952
0,43,4,1e-06,GroupRMSprop,gaussian,0.0003,15.0348,8.16696
0,44,4,0.0001,GroupRMSprop,orthogonal,0.001,6.45391,2.72407
0,45,4,0.001,GroupRMSprop,orthogonal,0.001,7.38767,3.10551
0,46,3,1e-05,GroupRMSprop,uniform,0.001,6.40618,2.8156
0,47,2,0.001,GroupRMSprop,uniform,0.001,6.4051,2.65364
0,48,4,0.0001,GroupRMSprop,gaussian,0.001,6.91881,2.92332
0,49,3,0.0001,GroupRMSprop,uniform,0.001,6.41012,2.80401
0,50,2,0.001,GroupRMSprop,uniform,0.0003,6.4063,2.65848
0,51,3,1e-05,GroupRMSprop,identity,0.0003,6.36127,2.71374
0,52,3,0.0001,GroupRMSprop,orthogonal,0.0003,6.71514,2.78814
0,53,4,0.001,GroupRMSprop,identity,0.001,6.34858,2.68198
0,54,3,0.0001,GroupRMSprop,gaussian,0.001,6.44753,2.6664
0,55,2,0.001,GroupRMSprop,identity,0.0003,6.3659,2.66986
0,56,2,1e-05,GroupRMSprop,uniform,0.001,6.37321,2.67109
0,57,2,1e-06,GroupRMSprop,identity,0.001,6.36738,2.67303
0,58,4,1e-05,GroupRMSprop,gaussian,0.0003,6.52632,2.74513
0,59,4,1e-05,GroupRMSprop,uniform,0.001,6.45643,2.75954
0,60,2,0.0001,GroupRMSprop,gaussian,0.001,6.36234,2.67678
0,61,3,1e-05,GroupRMSprop,gaussian,0.0003,6.46369,2.72186
0,62,4,0.001,GroupRMSprop,gaussian,0.001,6.96036,2.9926
0,63,3,0.001,GroupRMSprop,uniform,0.0003,6.51266,2.77635
0,64,2,1e-05,GroupRMSprop,gaussian,0.001,6.37081,2.67493
0,65,2,1e-05,GroupRMSprop,orthogonal,0.001,6.35523,2.6745
0,66,3,0.001,GroupRMSprop,gaussian,0.0003,7.05109,2.70289
0,67,3,1e-06,GroupRMSprop,orthogonal,0.001,6.5034,2.78691
0,68,3,0.001,GroupRMSprop,uniform,0.001,6.52442,2.77688
0,69,3,0.0001,GroupRMSprop,gaussian,0.0003,6.44918,2.67486
0,70,4,0.0001,GroupRMSprop,orthogonal,0.0003,6.50246,2.77205
0,71,4,1e-06,GroupRMSprop,orthogonal,0.0003,6.51293,2.73684
0,72,3,0.001,GroupRMSprop,orthogonal,0.001,7.37933,2.8514
0,73,4,0.0001,GroupRMSprop,uniform,0.0003,7.17887,2.75349
0,74,2,0.0001,GroupRMSprop,orthogonal,0.001,6.34475,2.69447
0,75,2,0.0001,GroupRMSprop,gaussian,0.0003,6.36555,2.67879
0,76,4,0.0001,GroupRMSprop,uniform,0.001,7.18068,2.76621
0,77,4,1e-05,GroupRMSprop,orthogonal,0.001,6.44421,2.76331
0,78,3,1e-05,GroupRMSprop,gaussian,0.001,6.45974,2.71456
0,79,4,1e-06,GroupRMSprop,uniform,0.001,6.44675,2.70453
0,80,4,1e-06,GroupRMSprop,orthogonal,0.001,6.51315,2.77214
0,81,4,1e-05,GroupRMSprop,uniform,0.0003,6.44765,2.72665
0,82,2,1e-06,GroupRMSprop,orthogonal,0.0003,6.36452,2.67316
0,83,2,1e-06,GroupRMSprop,gaussian,0.0003,6.36675,2.6686
0,84,2,1e-06,GroupRMSprop,uniform,0.001,6.36929,2.67068
0,85,3,0.0001,GroupRMSprop,identity,0.001,6.34772,2.69038
0,86,3,0.0001,GroupRMSprop,orthogonal,0.001,6.74347,2.77572
0,87,4,0.001,GroupRMSprop,uniform,0.0003,7.3053,2.88368
0,88,2,1e-05,GroupRMSprop,gaussian,0.0003,6.36773,2.6718
0,89,4,1e-05,GroupRMSprop,orthogonal,0.0003,6.44051,2.78974
0,90,4,1e-06,GroupRMSprop,gaussian,0.001,6.46298,2.7845
0,91,4,0.0001,GroupRMSprop,gaussian,0.0003,6.90922,2.86427
0,92,3,1e-06,GroupRMSprop,uniform,0.0003,6.39148,2.8162
0,93,2,0.001,GroupRMSprop,orthogonal,0.001,6.331,2.74347
0,94,4,0.0001,GroupRMSprop,identity,0.0003,6.36815,2.75578
0,95,2,1e-05,GroupRMSprop,identity,0.0003,6.36569,2.67068
